Model,Organization,Publication date,Parameters,Training compute (FLOP),Model accessibility,Country (of organization),Organization categorization,Training code accessibility,Open model weights?
Claude Mythos 5,Anthropic,09/06/2026,,,Unreleased,United States of America,Industry,,No
Claude Fable 5,Anthropic,09/06/2026,,,API access,United States of America,Industry,,No
North Mini Code,Cohere,09/06/2026,30000000000,,Open weights (unrestricted),Canada,Industry,Unreleased,Yes
Nemotron 3 Ultra,NVIDIA,04/06/2026,5.5E+11,6.60E+24,Open weights (unrestricted),United States of America,Industry,,Yes
Gemma 4 12B,Google DeepMind,03/06/2026,11950000000,,Open weights (unrestricted),United States of America,Industry,Unreleased,Yes
MAI-Image-2.5,Microsoft,02/06/2026,,,API access,United States of America,Industry,Unreleased,No
MiniMax-M3,MiniMax,01/06/2026,,,API access,China,Industry,,No
Qwen 3.7 Max,Alibaba,19/05/2026,,,,China,Industry,,
Composer 2.5,Cursor,18/05/2026,1.04E+12,3.87E+25,,United States of America,Industry,,
TML-Interaction-Small,Thinking Machines,11/05/2026,2.76E+11,,Unreleased,United States of America,Industry,,No
Mistral Medium 3.5,Mistral AI,29/04/2026,1.28E+11,,Open weights (restricted use),France,Industry,,Yes
MiMo-V2.5-Pro,Xiaomi Corp,27/04/2026,1.02E+12,6.80E+24,Open weights (unrestricted),China,Industry,,Yes
DeepSeek-V4-Pro,DeepSeek,24/04/2026,1.6E+12,9.70E+24,Open weights (unrestricted),China,Industry,,Yes
DeepSeek-V4-Flash,DeepSeek,24/04/2026,2.84E+11,2.50E+24,Open weights (unrestricted),China,Industry,,Yes
GPT-5.5 Pro,OpenAI,23/04/2026,,,API access,United States of America,Industry,Unreleased,No
GPT-5.5,OpenAI,23/04/2026,,,API access,United States of America,Industry,Unreleased,No
Grok Voice Think Fast 1.0,xAI,23/04/2026,,,API access,United States of America,Industry,,No
GPT Image 2,OpenAI,21/04/2026,,,API access,United States of America,Industry,,No
Ling-2.6-flash,Ant Group,21/04/2026,1.04E+11,,,China,Industry,,
Qwen 3.6-27B,,21/04/2026,27000000000,,Open weights (restricted use),,,,Yes
Kimi K2.6,Moonshot,20/04/2026,1.04E+12,,Open weights (unrestricted),China,Industry,,Yes
Grok 4.3 Beta,xAI,17/04/2026,5E+11,,Hosted access (no API),United States of America,Industry,Unreleased,No
Claude Opus 4.7,Anthropic,16/04/2026,,,API access,United States of America,Industry,Unreleased,No
Ï€0.7 (pi-0.7),Physical Intelligence,16/04/2026,5260000000,,Unreleased,United States of America,Industry,,No
Gemini Flash 3.1 TTS,Google DeepMind,15/04/2026,,,API access,United States of America,Industry,,No
LG EXAONE 4.5,LG AI Research,09/04/2026,33200000000,2.21E+23,Open weights (restricted use),Korea (Republic of),Industry,,Yes
GLM-5.1,Z.ai (Zhipu AI),07/04/2026,7.54E+11,,,China,Industry,,
Gemma 4 31B IT,Google DeepMind,02/04/2026,31000000000,,Open weights (restricted use),United States of America,Industry,,Yes
Gemma 4 26B A4B,Google DeepMind,02/04/2026,25200000000,,Open weights (unrestricted),United States of America,Industry,Unreleased,Yes
Qwen 3.6 Plus,Alibaba,01/04/2026,,,API access,China,Industry,,No
Qwen3.5-Omni-Plus,Alibaba,29/03/2026,,,API access,China,Industry,,No
Qwen3.5-Omni-Flash,Alibaba,29/03/2026,,,API access,China,Industry,,No
Composer 2,Cursor,19/03/2026,1.04E+12,2.32E+25,API access,United States of America,Industry,Unreleased,No
MiMo-V2-Pro,Xiaomi Corp,18/03/2026,1.02E+12,,,China,Industry,,
GPT-5.4 Mini,OpenAI,17/03/2026,,,API access,United States of America,Industry,Unreleased,No
GPT-5.4 Nano,OpenAI,17/03/2026,,,API access,United States of America,Industry,Unreleased,No
